generation,max_fitness
0,-0.022565443802300147
1,-0.022565443802300147
2,-0.022565443802300147
3,0.15714507827353635
4,0.15714507827353635
5,0.15714507827353635
6,0.15714507827353635
7,0.15714507827353635
8,0.15714507827353635
9,0.15714507827353635
10,0.15714507827353635
11,0.15714507827353635
12,0.15714507827353635
13,0.17058937555381715
14,0.17058937555381715
15,0.17058937555381715
16,0.17058937555381715
17,0.17058937555381715
18,0.17058937555381715
19,0.17058937555381715
20,0.17058937555381715
21,0.17058937555381715
22,0.17058937555381715
23,0.17058937555381715
24,0.22180763510399554
25,0.3474700634807363
26,0.3474700634807363
27,0.3474700634807363
28,0.3474700634807363
29,0.3474700634807363
30,0.3474700634807363
31,0.3474700634807363
32,0.3474700634807363
33,0.3474700634807363
34,0.3474700634807363
35,0.3474700634807363
36,0.3474700634807363
37,0.3474700634807363
38,0.3474700634807363
39,0.3474700634807363
40,0.3474700634807363
41,0.3474700634807363
42,0.3474700634807363
43,0.3474700634807363
44,0.3474700634807363
45,0.3474700634807363
46,0.3474700634807363
47,0.3474700634807363
48,0.3474700634807363
49,0.3474700634807363
