generation,max_fitness
0,0.579421106300302
1,0.8716257475339134
2,0.8716257475339134
3,0.8716257475339134
4,0.8716257475339134
5,0.9360226151924356
6,0.9360226151924356
7,0.9360226151924356
8,0.9360226151924356
9,0.9360226151924356
10,0.9360226151924356
11,0.9872931900556094
12,0.9872931900556094
13,0.9872931900556094
14,0.9872931900556094
15,0.9872931900556094
16,0.9872931900556094
17,0.9872931900556094
18,0.9872931900556094
19,0.9872931900556094
20,0.9872931900556094
21,0.9872931900556094
22,0.9872931900556094
23,0.9872931900556094
24,0.9872931900556094
25,0.9872931900556094
26,0.9872931900556094
27,0.9872931900556094
28,0.9872931900556094
29,0.9872931900556094
30,0.9872931900556094
31,0.9872931900556094
32,0.9872931900556094
33,0.9872931900556094
34,0.9872931900556094
35,0.9872931900556094
36,0.9872931900556094
37,0.9872931900556094
38,0.9872931900556094
39,0.9872931900556094
40,0.9872931900556094
41,0.9872931900556094
42,1.0249150857521236
43,1.0249150857521236
44,1.0249150857521236
45,1.0249150857521236
46,1.0249150857521236
47,1.0249150857521236
48,1.0249150857521236
49,1.0249150857521236
