iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.1691231727600098,-0.9296380281448364,-1.1436703205108643,-0.9296380281448364,-1.482589602470398
2,-1.214687466621399,-0.920481264591217,-1.2045515775680542,-0.920481264591217,-1.5580700635910034
3,-1.221916675567627,-0.921016275882721,-1.0889780521392822,-0.920481264591217,-1.8657699823379517
4,-1.160386085510254,-0.9296338558197021,-1.1465542316436768,-0.920481264591217,-1.8657699823379517
5,-1.2108283042907715,-0.7713754177093506,-1.1904419660568237,-0.7713754177093506,-1.8657699823379517
6,-1.25471031665802,-0.8956124186515808,-1.2487460374832153,-0.7713754177093506,-1.8657699823379517
7,-1.1264668703079224,-0.8910673260688782,-1.0940842628479004,-0.7713754177093506,-1.8657699823379517
8,-1.1709074974060059,-0.9206323623657227,-1.1576557159423828,-0.7713754177093506,-1.8657699823379517
9,-1.1962695121765137,-0.8903526663780212,-1.1767035722732544,-0.7713754177093506,-1.8657699823379517
10,-1.2247636318206787,-0.949683666229248,-1.1702231168746948,-0.7713754177093506,-1.8657699823379517
11,-1.0921863317489624,-0.9169936180114746,-1.0129430294036865,-0.7713754177093506,-1.8657699823379517
12,-1.1259424686431885,-0.8839332461357117,-1.049025297164917,-0.7713754177093506,-1.8657699823379517
13,-1.1432703733444214,-0.8626002669334412,-1.0484787225723267,-0.7713754177093506,-1.995395541191101
14,-1.0743780136108398,-0.8820015788078308,-1.030492901802063,-0.7713754177093506,-1.995395541191101
15,-1.0406733751296997,-0.8576284646987915,-0.974731981754303,-0.7713754177093506,-1.995395541191101
16,-1.145457148551941,-0.8936000466346741,-1.0723620653152466,-0.7713754177093506,-1.995395541191101
17,-1.1361424922943115,-0.8677660226821899,-1.0636022090911865,-0.7713754177093506,-1.995395541191101
18,-1.1389349699020386,-0.8840174674987793,-1.0621298551559448,-0.7713754177093506,-1.995395541191101
19,-1.0927929878234863,-0.8841037750244141,-1.049294114112854,-0.7713754177093506,-1.995395541191101
20,-0.9782248139381409,-0.8407588601112366,-0.9628520011901855,-0.7713754177093506,-1.995395541191101
