iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.512153685092926,-0.34654104709625244,-0.5003086924552917,-0.34654104709625244,-0.8139747977256775
2,-0.6883108615875244,-0.4014182686805725,-0.6720965504646301,-0.34654104709625244,-1.1373577117919922
3,-0.6384838223457336,-0.3462841212749481,-0.6360315084457397,-0.3462841212749481,-1.1373577117919922
4,-0.5654432773590088,-0.26414623856544495,-0.5578243136405945,-0.26414623856544495,-1.188584804534912
5,-0.6326847076416016,-0.3106175363063812,-0.6539487242698669,-0.26414623856544495,-1.188584804534912
6,-0.5535633563995361,-0.27874064445495605,-0.5323653221130371,-0.26414623856544495,-1.188584804534912
7,-0.5945459008216858,-0.3704274296760559,-0.5965517163276672,-0.26414623856544495,-1.188584804534912
8,-0.5899479985237122,-0.07529035955667496,-0.5671173930168152,-0.07529035955667496,-1.188584804534912
9,-0.5649922490119934,-0.05994418263435364,-0.5692150592803955,-0.05994418263435364,-1.188584804534912
10,-0.5885589718818665,-0.2970823347568512,-0.5891103148460388,-0.05994418263435364,-1.188584804534912
11,-0.4848629832267761,-0.20595689117908478,-0.5238649845123291,-0.05994418263435364,-1.188584804534912
12,-0.521892249584198,-0.12284241616725922,-0.528967559337616,-0.05994418263435364,-1.188584804534912
13,-0.4552660286426544,-0.12718267738819122,-0.4869295060634613,-0.05994418263435364,-1.188584804534912
14,-0.49092113971710205,-0.16151714324951172,-0.43819883465766907,-0.05994418263435364,-1.188584804534912
15,-0.5149111747741699,-0.296053409576416,-0.5173901915550232,-0.05994418263435364,-1.188584804534912
16,-0.4421020448207855,-0.3094218373298645,-0.43195393681526184,-0.05994418263435364,-1.188584804534912
17,-0.529018223285675,-0.23364470899105072,-0.512130618095398,-0.05994418263435364,-1.188584804534912
18,-0.49776649475097656,-0.2543034255504608,-0.5076943039894104,-0.05994418263435364,-1.188584804534912
19,-0.47548121213912964,-0.19706988334655762,-0.48725625872612,-0.05994418263435364,-1.188584804534912
20,-0.4092558026313782,-0.17090848088264465,-0.35731804370880127,-0.05994418263435364,-1.188584804534912
