iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.2387760877609253,-0.8838733434677124,-1.2244110107421875,-0.8838733434677124,-1.7877295017242432
2,-1.1448966264724731,-0.8119956851005554,-1.0675376653671265,-0.8119956851005554,-1.7877295017242432
3,-1.198596477508545,-0.9477641582489014,-1.0921767950057983,-0.8119956851005554,-1.7877295017242432
4,-1.1374058723449707,-0.7522662878036499,-1.1513164043426514,-0.7522662878036499,-1.7877295017242432
5,-1.2699135541915894,-0.9446445107460022,-1.2826626300811768,-0.7522662878036499,-1.7877295017242432
6,-1.224294662475586,-0.9057474136352539,-1.2796049118041992,-0.7522662878036499,-1.7877295017242432
7,-1.175075650215149,-0.907085657119751,-1.0720977783203125,-0.7522662878036499,-1.7877295017242432
8,-1.2035140991210938,-0.8906304240226746,-1.121110200881958,-0.7522662878036499,-1.7877295017242432
9,-1.1837035417556763,-0.8129056692123413,-1.0952657461166382,-0.7522662878036499,-1.7877295017242432
10,-1.3391112089157104,-0.9494064450263977,-1.3853158950805664,-0.7522662878036499,-1.8752328157424927
11,-1.2272059917449951,-0.9341393709182739,-1.2133824825286865,-0.7522662878036499,-1.8752328157424927
12,-1.2084128856658936,-0.9593954086303711,-1.1842219829559326,-0.7522662878036499,-1.8752328157424927
13,-1.1838191747665405,-0.8686545491218567,-1.1543610095977783,-0.7522662878036499,-1.8752328157424927
14,-1.1927636861801147,-0.8239095211029053,-1.0755503177642822,-0.7522662878036499,-1.8752328157424927
15,-1.2260524034500122,-0.8251777291297913,-1.268907904624939,-0.7522662878036499,-1.8752328157424927
16,-1.1810894012451172,-0.7834959626197815,-1.0827802419662476,-0.7522662878036499,-1.8752328157424927
17,-1.1410629749298096,-0.715380847454071,-1.126792550086975,-0.715380847454071,-1.8752328157424927
18,-1.1806782484054565,-0.8425161242485046,-1.1308451890945435,-0.715380847454071,-1.9761993885040283
19,-1.1887142658233643,-0.8459393382072449,-1.1733343601226807,-0.715380847454071,-1.9761993885040283
20,-1.191733717918396,-0.8183088898658752,-1.0959030389785767,-0.715380847454071,-1.9761993885040283
