iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.7932558059692383,-0.4896678626537323,-0.7656509876251221,-0.4896678626537323,-1.2666352987289429
2,-0.8450880646705627,-0.5229123830795288,-0.8281518816947937,-0.4896678626537323,-1.2989554405212402
3,-0.8406318426132202,-0.3470940589904785,-0.8472374081611633,-0.3470940589904785,-1.2989554405212402
4,-0.6948373317718506,-0.3760930001735687,-0.7226836681365967,-0.3470940589904785,-1.2989554405212402
5,-0.7867285013198853,-0.5712310075759888,-0.7627095580101013,-0.3470940589904785,-1.2989554405212402
6,-0.6757673621177673,-0.37283873558044434,-0.6886170506477356,-0.3470940589904785,-1.2989554405212402
7,-0.6804615259170532,-0.2895206809043884,-0.6588859558105469,-0.2895206809043884,-1.4103991985321045
8,-0.6692567467689514,-0.38812029361724854,-0.7136667966842651,-0.2895206809043884,-1.4103991985321045
9,-0.6875978112220764,-0.38292187452316284,-0.6929463148117065,-0.2895206809043884,-1.4103991985321045
10,-0.7044804096221924,-0.27044403553009033,-0.6684742569923401,-0.27044403553009033,-1.570311427116394
11,-0.6485701203346252,-0.34807899594306946,-0.6532014608383179,-0.27044403553009033,-1.570311427116394
12,-0.6314039826393127,-0.3519102931022644,-0.6685506701469421,-0.27044403553009033,-1.570311427116394
13,-0.5740264654159546,-0.2081746757030487,-0.5549787282943726,-0.2081746757030487,-1.570311427116394
14,-0.5691002607345581,-0.2609282433986664,-0.6021761894226074,-0.2081746757030487,-1.570311427116394
15,-0.6565014123916626,-0.4026276469230652,-0.653080940246582,-0.2081746757030487,-1.570311427116394
16,-0.5738435387611389,-0.41390103101730347,-0.5557541251182556,-0.2081746757030487,-1.570311427116394
17,-0.5449557304382324,-0.36078205704689026,-0.5520009398460388,-0.2081746757030487,-1.570311427116394
18,-0.5479766726493835,-0.3136112093925476,-0.5148528218269348,-0.2081746757030487,-1.570311427116394
19,-0.57552570104599,-0.38945114612579346,-0.5484278202056885,-0.2081746757030487,-1.570311427116394
20,-0.4881817102432251,-0.3661629259586334,-0.4361204504966736,-0.2081746757030487,-1.570311427116394
