iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.6184681057929993,-0.339678555727005,-0.6014853715896606,-0.339678555727005,-0.8928186893463135
2,-0.5367767810821533,-0.30471083521842957,-0.5461753606796265,-0.30471083521842957,-0.8928186893463135
3,-0.546678364276886,-0.25994229316711426,-0.5506485104560852,-0.25994229316711426,-1.1315416097640991
4,-0.5572178363800049,-0.22255589067935944,-0.5593292713165283,-0.22255589067935944,-1.1315416097640991
5,-0.5556474328041077,-0.24615950882434845,-0.569922149181366,-0.22255589067935944,-1.1315416097640991
6,-0.4591023623943329,-0.22645030915737152,-0.42708224058151245,-0.22255589067935944,-1.1315416097640991
7,-0.5012766122817993,-0.1624390184879303,-0.506473183631897,-0.1624390184879303,-1.1315416097640991
8,-0.4757736325263977,-0.20014943182468414,-0.4742532968521118,-0.1624390184879303,-1.1315416097640991
9,-0.4693552851676941,-0.3173730969429016,-0.4282241463661194,-0.1624390184879303,-1.1315416097640991
10,-0.5690678954124451,-0.22563371062278748,-0.5779610872268677,-0.1624390184879303,-1.1315416097640991
11,-0.49167922139167786,-0.11474938690662384,-0.5519110560417175,-0.11474938690662384,-1.1315416097640991
12,-0.4890890419483185,-0.2409486174583435,-0.37995001673698425,-0.11474938690662384,-1.1315416097640991
13,-0.49216651916503906,-0.280621200799942,-0.5207886099815369,-0.11474938690662384,-1.1315416097640991
14,-0.5564733147621155,-0.2220681607723236,-0.5396832227706909,-0.11474938690662384,-1.1315416097640991
15,-0.5529064536094666,-0.2756958603858948,-0.5503648519515991,-0.11474938690662384,-1.1315416097640991
16,-0.5063973069190979,-0.08367736637592316,-0.5772703886032104,-0.08367736637592316,-1.1315416097640991
17,-0.4956768751144409,-0.27972155809402466,-0.4742192029953003,-0.08367736637592316,-1.1315416097640991
18,-0.5431255102157593,-0.2930538058280945,-0.5485018491744995,-0.08367736637592316,-1.1315416097640991
19,-0.5198439955711365,-0.2920316755771637,-0.49321097135543823,-0.08367736637592316,-1.1315416097640991
20,-0.5089789032936096,-0.2398129105567932,-0.5346593260765076,-0.08367736637592316,-1.1315416097640991
