iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.7884762287139893,-0.43239691853523254,-0.7676100730895996,-0.43239691853523254,-1.2698918581008911
2,-0.7708661556243896,-0.3449777364730835,-0.7580388784408569,-0.3449777364730835,-1.2698918581008911
3,-0.7274181842803955,-0.4379694163799286,-0.7211387157440186,-0.3449777364730835,-1.2698918581008911
4,-0.7142879962921143,-0.33293747901916504,-0.7275515794754028,-0.33293747901916504,-1.2698918581008911
5,-0.6968614459037781,-0.3961067795753479,-0.7537224888801575,-0.33293747901916504,-1.7135227918624878
6,-0.7001745104789734,-0.4246445596218109,-0.6983090043067932,-0.33293747901916504,-1.7135227918624878
7,-0.6585964560508728,-0.32012495398521423,-0.6697852611541748,-0.32012495398521423,-1.7135227918624878
8,-0.6405154466629028,-0.4121748208999634,-0.6331177949905396,-0.32012495398521423,-1.7135227918624878
9,-0.646355390548706,-0.40183910727500916,-0.6502055525779724,-0.32012495398521423,-1.7135227918624878
10,-0.6173717975616455,-0.39651548862457275,-0.5979646444320679,-0.32012495398521423,-1.7135227918624878
11,-0.6232835054397583,-0.3549913465976715,-0.6738999485969543,-0.32012495398521423,-1.7135227918624878
12,-0.6707663536071777,-0.2898445427417755,-0.6746492385864258,-0.2898445427417755,-1.7135227918624878
13,-0.6594277024269104,-0.4274810254573822,-0.6484589576721191,-0.2898445427417755,-1.7135227918624878
14,-0.6079415678977966,-0.36723241209983826,-0.6452082991600037,-0.2898445427417755,-1.7135227918624878
15,-0.5573448538780212,-0.36920690536499023,-0.5254873037338257,-0.2898445427417755,-1.7135227918624878
16,-0.5464484691619873,-0.30571839213371277,-0.5696899890899658,-0.2898445427417755,-1.7135227918624878
17,-0.6306427717208862,-0.3263477683067322,-0.6740757822990417,-0.2898445427417755,-1.7135227918624878
18,-0.6113287210464478,-0.37848275899887085,-0.5601552128791809,-0.2898445427417755,-1.7135227918624878
19,-0.5694254040718079,-0.3829733729362488,-0.5529718399047852,-0.2898445427417755,-1.7135227918624878
20,-0.6197707056999207,-0.37572941184043884,-0.6362571120262146,-0.2898445427417755,-1.7135227918624878
