iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.8984442353248596,-0.3621498644351959,-0.8628646731376648,-0.3621498644351959,-1.2836105823516846
2,-0.7996397614479065,-0.44841328263282776,-0.7892271280288696,-0.3621498644351959,-1.2836105823516846
3,-0.8126537799835205,-0.3976370394229889,-0.8343117833137512,-0.3621498644351959,-1.2836105823516846
4,-0.8722500205039978,-0.5119528770446777,-0.8705847859382629,-0.3621498644351959,-1.3216874599456787
5,-0.7775752544403076,-0.3660164475440979,-0.770513117313385,-0.3621498644351959,-1.3216874599456787
6,-0.8680286407470703,-0.4184698760509491,-0.8495990633964539,-0.3621498644351959,-1.5566494464874268
7,-0.8429701328277588,-0.472709059715271,-0.8255918025970459,-0.3621498644351959,-1.5566494464874268
8,-0.7935064435005188,-0.324019193649292,-0.7996044754981995,-0.324019193649292,-1.5566494464874268
9,-0.7307056784629822,-0.3698234260082245,-0.7161173820495605,-0.324019193649292,-1.5566494464874268
10,-0.8016504049301147,-0.36066514253616333,-0.7815810441970825,-0.324019193649292,-1.5566494464874268
11,-0.7938290238380432,-0.2794310748577118,-0.7261753082275391,-0.2794310748577118,-1.8209196329116821
12,-0.7079172134399414,-0.39537131786346436,-0.7442476749420166,-0.2794310748577118,-1.8209196329116821
13,-0.6924382448196411,-0.3858208954334259,-0.646507978439331,-0.2794310748577118,-1.8209196329116821
14,-0.7902398705482483,-0.4252079129219055,-0.731261670589447,-0.2794310748577118,-1.8209196329116821
15,-0.7156264185905457,-0.4099540710449219,-0.7145999073982239,-0.2794310748577118,-1.8209196329116821
16,-0.665477991104126,-0.2671332061290741,-0.630962610244751,-0.2671332061290741,-1.8209196329116821
17,-0.66351318359375,-0.3941527307033539,-0.6471540331840515,-0.2671332061290741,-1.8209196329116821
18,-0.7402276992797852,-0.3885294198989868,-0.7074066996574402,-0.2671332061290741,-1.8209196329116821
19,-0.5949587821960449,-0.41776296496391296,-0.5103899240493774,-0.2671332061290741,-1.8209196329116821
20,-0.719612181186676,-0.36653026938438416,-0.7154175639152527,-0.2671332061290741,-1.8209196329116821
