iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.9513090252876282,-0.6334388256072998,-0.9215302467346191,-0.6334388256072998,-1.281959056854248
2,-0.9025545120239258,-0.4743541181087494,-0.8783954381942749,-0.4743541181087494,-1.3412452936172485
3,-0.8509209156036377,-0.5565168261528015,-0.7833263278007507,-0.4743541181087494,-1.3412452936172485
4,-0.9488506317138672,-0.5720072984695435,-0.9949456453323364,-0.4743541181087494,-1.3412452936172485
5,-0.9501895904541016,-0.6228018999099731,-0.9858170747756958,-0.4743541181087494,-1.3412452936172485
6,-0.9517568349838257,-0.617842435836792,-0.8810689449310303,-0.4743541181087494,-1.7576842308044434
7,-0.8610735535621643,-0.38095349073410034,-0.8557310104370117,-0.38095349073410034,-1.7576842308044434
8,-0.7795099020004272,-0.5014666318893433,-0.7671273350715637,-0.38095349073410034,-1.7576842308044434
9,-0.7826156616210938,-0.4937572777271271,-0.7474334239959717,-0.38095349073410034,-1.7576842308044434
10,-0.7644069790840149,-0.5016565918922424,-0.7378318309783936,-0.38095349073410034,-1.7576842308044434
11,-0.6673225164413452,-0.4901939034461975,-0.7020182013511658,-0.38095349073410034,-1.7576842308044434
12,-0.7004231810569763,-0.5458688735961914,-0.6641386151313782,-0.38095349073410034,-1.7576842308044434
13,-0.7210501432418823,-0.4611329734325409,-0.6447113752365112,-0.38095349073410034,-1.7576842308044434
14,-0.6724663376808167,-0.4839923083782196,-0.6570651531219482,-0.38095349073410034,-1.7576842308044434
15,-0.7116846442222595,-0.45801734924316406,-0.6973790526390076,-0.38095349073410034,-1.7576842308044434
16,-0.748285710811615,-0.48249199986457825,-0.7520658373832703,-0.38095349073410034,-1.7576842308044434
17,-0.7592558264732361,-0.4939924478530884,-0.7427131533622742,-0.38095349073410034,-1.7576842308044434
18,-0.9105356335639954,-0.49723339080810547,-0.8874404430389404,-0.38095349073410034,-1.7576842308044434
19,-0.7707975506782532,-0.4296262860298157,-0.7471817135810852,-0.38095349073410034,-1.7576842308044434
20,-0.7414243221282959,-0.48389941453933716,-0.7287033796310425,-0.38095349073410034,-1.7576842308044434
