iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.5037264227867126,-0.19091154634952545,-0.5014050006866455,-0.19091154634952545,-0.9736980199813843
2,-0.5054357051849365,-0.24158817529678345,-0.495194673538208,-0.19091154634952545,-0.9736980199813843
3,-0.5405091643333435,-0.2412174791097641,-0.5003958344459534,-0.19091154634952545,-0.9736980199813843
4,-0.504301130771637,-0.3164833188056946,-0.5157433748245239,-0.19091154634952545,-0.9736980199813843
5,-0.5057210922241211,-0.302195280790329,-0.5154325366020203,-0.19091154634952545,-0.9736980199813843
6,-0.5313752889633179,-0.22199861705303192,-0.5475460886955261,-0.19091154634952545,-0.9736980199813843
7,-0.4909968674182892,-0.13456642627716064,-0.49788206815719604,-0.13456642627716064,-0.9736980199813843
8,-0.5033234357833862,-0.28183478116989136,-0.48355817794799805,-0.13456642627716064,-1.0723495483398438
9,-0.4693247675895691,-0.15296025574207306,-0.5189624428749084,-0.13456642627716064,-1.0723495483398438
10,-0.5086105465888977,-0.3088151812553406,-0.5382930040359497,-0.13456642627716064,-1.0723495483398438
11,-0.4980429410934448,-0.20378679037094116,-0.5058838725090027,-0.13456642627716064,-1.0723495483398438
12,-0.5268239378929138,-0.3611387014389038,-0.5402321219444275,-0.13456642627716064,-1.0723495483398438
13,-0.47212693095207214,-0.24409160017967224,-0.4649166464805603,-0.13456642627716064,-1.0723495483398438
14,-0.515240490436554,-0.278216689825058,-0.50348961353302,-0.13456642627716064,-1.0723495483398438
15,-0.49152010679244995,-0.28329038619995117,-0.4760779142379761,-0.13456642627716064,-1.0723495483398438
16,-0.5101456046104431,-0.32520437240600586,-0.476619154214859,-0.13456642627716064,-1.0723495483398438
17,-0.5577154159545898,-0.2322332262992859,-0.5377095341682434,-0.13456642627716064,-1.2617063522338867
18,-0.4771578013896942,-0.2366085648536682,-0.4857063889503479,-0.13456642627716064,-1.2617063522338867
19,-0.4861200451850891,-0.2554072141647339,-0.49867987632751465,-0.13456642627716064,-1.2617063522338867
20,-0.4202570617198944,-0.27559247612953186,-0.41781580448150635,-0.13456642627716064,-1.2617063522338867
