iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.6393736600875854,-0.37466365098953247,-0.630566418170929,-0.37466365098953247,-0.9818850755691528
2,-0.5723628997802734,-0.3412640690803528,-0.5503291487693787,-0.3412640690803528,-0.9818850755691528
3,-0.6323045492172241,-0.3261508047580719,-0.6300756931304932,-0.3261508047580719,-1.01163649559021
4,-0.5580832362174988,-0.27865323424339294,-0.5528886318206787,-0.27865323424339294,-1.01163649559021
5,-0.6007013320922852,-0.3484698235988617,-0.6020702123641968,-0.27865323424339294,-1.01163649559021
6,-0.5661274194717407,-0.3212888836860657,-0.5706605911254883,-0.27865323424339294,-1.01163649559021
7,-0.6161538362503052,-0.3129608631134033,-0.601809561252594,-0.27865323424339294,-1.01163649559021
8,-0.6129743456840515,-0.4149945378303528,-0.5964792370796204,-0.27865323424339294,-1.01163649559021
9,-0.6370725035667419,-0.38420194387435913,-0.6088833212852478,-0.27865323424339294,-1.0455925464630127
10,-0.656589686870575,-0.23577256500720978,-0.636837363243103,-0.23577256500720978,-1.0830377340316772
11,-0.6503521800041199,-0.37001439929008484,-0.611548125743866,-0.23577256500720978,-1.0830377340316772
12,-0.5474007725715637,-0.23467963933944702,-0.5625361800193787,-0.23467963933944702,-1.0830377340316772
13,-0.5519256591796875,-0.14260727167129517,-0.526205837726593,-0.14260727167129517,-1.0830377340316772
14,-0.6119060516357422,-0.1799054890871048,-0.6061281561851501,-0.14260727167129517,-1.0830377340316772
15,-0.5542923212051392,-0.2360808551311493,-0.5328254103660583,-0.14260727167129517,-1.0830377340316772
16,-0.5513805747032166,-0.2323586642742157,-0.5465846657752991,-0.14260727167129517,-1.0830377340316772
17,-0.5919963717460632,-0.3072071373462677,-0.5706230998039246,-0.14260727167129517,-1.0830377340316772
18,-0.47740069031715393,-0.2548118829727173,-0.44219183921813965,-0.14260727167129517,-1.591539740562439
19,-0.5152706503868103,-0.3090524971485138,-0.49899208545684814,-0.14260727167129517,-1.591539740562439
20,-0.40676671266555786,-0.25567907094955444,-0.37474915385246277,-0.14260727167129517,-1.591539740562439
