iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.5212647914886475,-1.3368966579437256,-1.549912691116333,-1.3368966579437256,-1.6678564548492432
2,-1.526130199432373,-1.3451637029647827,-1.56532621383667,-1.3368966579437256,-1.6678564548492432
3,-1.5482300519943237,-1.4004868268966675,-1.5702695846557617,-1.3368966579437256,-1.6678564548492432
4,-1.4936854839324951,-1.2434004545211792,-1.540518879890442,-1.2434004545211792,-1.6678564548492432
5,-1.529447317123413,-1.345184326171875,-1.578269600868225,-1.2434004545211792,-1.6678564548492432
6,-1.5216153860092163,-1.3474981784820557,-1.552274465560913,-1.2434004545211792,-1.6997965574264526
7,-1.5093783140182495,-1.2690253257751465,-1.5494248867034912,-1.2434004545211792,-1.6997965574264526
8,-1.5137444734573364,-1.2278969287872314,-1.547701358795166,-1.2278969287872314,-1.6997965574264526
9,-1.52464759349823,-1.3313829898834229,-1.5681782960891724,-1.2278969287872314,-1.6997965574264526
10,-1.5153478384017944,-1.3478634357452393,-1.552040696144104,-1.2278969287872314,-1.6997965574264526
11,-1.4907013177871704,-1.3229891061782837,-1.4980762004852295,-1.2278969287872314,-1.6997965574264526
12,-1.5075737237930298,-1.3596571683883667,-1.5258903503417969,-1.2278969287872314,-1.6997965574264526
13,-1.4874141216278076,-1.3272497653961182,-1.5469567775726318,-1.2278969287872314,-1.6997965574264526
14,-1.4562220573425293,-1.2928383350372314,-1.4137574434280396,-1.2278969287872314,-1.6997965574264526
15,-1.456693410873413,-1.3323278427124023,-1.4175670146942139,-1.2278969287872314,-1.6997965574264526
16,-1.4474352598190308,-1.3475979566574097,-1.3958133459091187,-1.2278969287872314,-1.6997965574264526
17,-1.4715088605880737,-1.3419791460037231,-1.4521750211715698,-1.2278969287872314,-1.6997965574264526
18,-1.4601994752883911,-1.3037830591201782,-1.4003180265426636,-1.2278969287872314,-1.6997965574264526
19,-1.478410005569458,-1.3299676179885864,-1.4367319345474243,-1.2278969287872314,-1.6997965574264526
20,-1.450620412826538,-1.2984087467193604,-1.4090735912322998,-1.2278969287872314,-1.6997965574264526
21,-1.4720327854156494,-1.2946388721466064,-1.4730753898620605,-1.2278969287872314,-1.6997965574264526
22,-1.43973708152771,-1.3027215003967285,-1.392055630683899,-1.2278969287872314,-1.6997965574264526
23,-1.47037935256958,-1.3326326608657837,-1.4856270551681519,-1.2278969287872314,-1.6997965574264526
24,-1.4467861652374268,-1.3318309783935547,-1.3913887739181519,-1.2278969287872314,-1.6997965574264526
25,-1.4224913120269775,-1.303260326385498,-1.3994135856628418,-1.2278969287872314,-1.6997965574264526
26,-1.452038288116455,-1.3532776832580566,-1.4167245626449585,-1.2278969287872314,-1.6997965574264526
27,-1.4425636529922485,-1.3457788228988647,-1.3986742496490479,-1.2278969287872314,-1.6997965574264526
28,-1.445488452911377,-1.3097314834594727,-1.3973052501678467,-1.2278969287872314,-1.6997965574264526
29,-1.4604861736297607,-1.3414332866668701,-1.409334421157837,-1.2278969287872314,-1.6997965574264526
30,-1.457636833190918,-1.314339518547058,-1.4077714681625366,-1.2278969287872314,-1.6997965574264526
31,-1.4459930658340454,-1.3543750047683716,-1.4111828804016113,-1.2278969287872314,-1.6997965574264526
32,-1.424641489982605,-1.3389660120010376,-1.4006640911102295,-1.2278969287872314,-1.6997965574264526
33,-1.4276313781738281,-1.3020267486572266,-1.407519817352295,-1.2278969287872314,-1.6997965574264526
34,-1.4758076667785645,-1.365687608718872,-1.4461051225662231,-1.2278969287872314,-1.6997965574264526
35,-1.4349039793014526,-1.3051961660385132,-1.3953979015350342,-1.2278969287872314,-1.6997965574264526
36,-1.4478988647460938,-1.303208351135254,-1.4122376441955566,-1.2278969287872314,-1.6997965574264526
37,-1.4793312549591064,-1.3335163593292236,-1.4232648611068726,-1.2278969287872314,-1.6997965574264526
38,-1.4589471817016602,-1.316346287727356,-1.4255585670471191,-1.2278969287872314,-1.6997965574264526
39,-1.4516648054122925,-1.3198041915893555,-1.4022128582000732,-1.2278969287872314,-1.6997965574264526
40,-1.4309632778167725,-1.238932728767395,-1.401548981666565,-1.2278969287872314,-1.6997965574264526
