iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.69136643409729,-1.5073280334472656,-1.6989375352859497,-1.5073280334472656,-1.9830745458602905
2,-1.6775429248809814,-1.557959794998169,-1.6793978214263916,-1.5073280334472656,-1.9830745458602905
3,-1.6790127754211426,-1.592988133430481,-1.6467986106872559,-1.5073280334472656,-1.9830745458602905
4,-1.6929404735565186,-1.5029631853103638,-1.6723552942276,-1.5029631853103638,-1.9830745458602905
5,-1.6260735988616943,-1.4226642847061157,-1.6149485111236572,-1.4226642847061157,-2.0038609504699707
6,-1.6748391389846802,-1.5805060863494873,-1.6432034969329834,-1.4226642847061157,-2.0038609504699707
7,-1.6769578456878662,-1.5423862934112549,-1.66280198097229,-1.4226642847061157,-2.0038609504699707
8,-1.6921343803405762,-1.4588974714279175,-1.6754428148269653,-1.4226642847061157,-2.1144580841064453
9,-1.7069460153579712,-1.6364887952804565,-1.6863516569137573,-1.4226642847061157,-2.1144580841064453
10,-1.6971076726913452,-1.5426667928695679,-1.6866470575332642,-1.4226642847061157,-2.1144580841064453
11,-1.6638879776000977,-1.5638681650161743,-1.654174566268921,-1.4226642847061157,-2.1144580841064453
12,-1.6448761224746704,-1.5594491958618164,-1.6218513250350952,-1.4226642847061157,-2.1144580841064453
13,-1.676188588142395,-1.4200924634933472,-1.6617295742034912,-1.4200924634933472,-2.1144580841064453
14,-1.65877103805542,-1.325849175453186,-1.6291013956069946,-1.325849175453186,-2.1144580841064453
15,-1.6505483388900757,-1.5205944776535034,-1.6388556957244873,-1.325849175453186,-2.1144580841064453
16,-1.6940677165985107,-1.532529354095459,-1.699911117553711,-1.325849175453186,-2.1144580841064453
17,-1.6518338918685913,-1.530609130859375,-1.6595555543899536,-1.325849175453186,-2.1144580841064453
18,-1.6376804113388062,-1.5434901714324951,-1.6260168552398682,-1.325849175453186,-2.1144580841064453
19,-1.6321014165878296,-1.5288928747177124,-1.6171334981918335,-1.325849175453186,-2.1144580841064453
20,-1.629704236984253,-1.491835594177246,-1.6206177473068237,-1.325849175453186,-2.1144580841064453
21,-1.6384910345077515,-1.5208505392074585,-1.6193989515304565,-1.325849175453186,-2.1144580841064453
22,-1.66037917137146,-1.525026559829712,-1.619807481765747,-1.325849175453186,-2.1144580841064453
23,-1.6269865036010742,-1.4332422018051147,-1.6211321353912354,-1.325849175453186,-2.1144580841064453
24,-1.6488667726516724,-1.541364073753357,-1.6100859642028809,-1.325849175453186,-2.1144580841064453
25,-1.6207023859024048,-1.4822993278503418,-1.6136856079101562,-1.325849175453186,-2.1144580841064453
26,-1.6333863735198975,-1.4816089868545532,-1.6145386695861816,-1.325849175453186,-2.1144580841064453
27,-1.6320762634277344,-1.5618090629577637,-1.6135064363479614,-1.325849175453186,-2.1144580841064453
28,-1.6160361766815186,-1.4814685583114624,-1.6072505712509155,-1.325849175453186,-2.1144580841064453
29,-1.6306571960449219,-1.5542404651641846,-1.6195380687713623,-1.325849175453186,-2.1144580841064453
30,-1.6147304773330688,-1.4284694194793701,-1.599723219871521,-1.325849175453186,-2.1144580841064453
31,-1.605263590812683,-1.4396167993545532,-1.5983362197875977,-1.325849175453186,-2.1144580841064453
32,-1.6405706405639648,-1.3929129838943481,-1.6224675178527832,-1.325849175453186,-2.1144580841064453
33,-1.6135307550430298,-1.44190514087677,-1.6025359630584717,-1.325849175453186,-2.1144580841064453
34,-1.6030280590057373,-1.4757150411605835,-1.5997135639190674,-1.325849175453186,-2.1144580841064453
35,-1.5964800119400024,-1.414445161819458,-1.5891815423965454,-1.325849175453186,-2.1144580841064453
36,-1.6453845500946045,-1.3711076974868774,-1.6099741458892822,-1.325849175453186,-2.1144580841064453
37,-1.6266227960586548,-1.4531242847442627,-1.6043477058410645,-1.325849175453186,-2.1144580841064453
38,-1.6002397537231445,-1.4061814546585083,-1.585854172706604,-1.325849175453186,-2.1144580841064453
39,-1.6109753847122192,-1.4403371810913086,-1.6117947101593018,-1.325849175453186,-2.1144580841064453
40,-1.6496280431747437,-1.4912689924240112,-1.6164560317993164,-1.325849175453186,-2.1144580841064453
