iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.42734694480896,-1.0744980573654175,-1.4751217365264893,-1.0744980573654175,-1.5520919561386108
2,-1.3986544609069824,-1.086499810218811,-1.4576460123062134,-1.0744980573654175,-1.5806752443313599
3,-1.370493769645691,-1.237224817276001,-1.3300498723983765,-1.0744980573654175,-1.5806752443313599
4,-1.3617000579833984,-1.1132572889328003,-1.3774398565292358,-1.0744980573654175,-1.5806752443313599
5,-1.3914294242858887,-1.078294038772583,-1.4279181957244873,-1.0744980573654175,-1.5806752443313599
6,-1.3501206636428833,-1.0887953042984009,-1.377581000328064,-1.0744980573654175,-1.5806752443313599
7,-1.3432056903839111,-1.0805397033691406,-1.373929738998413,-1.0744980573654175,-1.5806752443313599
8,-1.3039644956588745,-0.9492277503013611,-1.2876548767089844,-0.9492277503013611,-1.5888923406600952
9,-1.249639868736267,-1.0516679286956787,-1.2410866022109985,-0.9492277503013611,-1.5888923406600952
10,-1.2830442190170288,-1.0519020557403564,-1.2744182348251343,-0.9492277503013611,-1.5888923406600952
11,-1.2104064226150513,-1.0683180093765259,-1.198237657546997,-0.9492277503013611,-1.5888923406600952
12,-1.2028303146362305,-1.070942759513855,-1.1255310773849487,-0.9492277503013611,-1.5888923406600952
13,-1.205662488937378,-0.9583845138549805,-1.203850269317627,-0.9492277503013611,-1.5888923406600952
14,-1.2315748929977417,-1.064432144165039,-1.2176480293273926,-0.9492277503013611,-1.5888923406600952
15,-1.2501424551010132,-1.0373518466949463,-1.248058557510376,-0.9492277503013611,-1.5888923406600952
16,-1.278720498085022,-1.055374026298523,-1.268790602684021,-0.9492277503013611,-1.5888923406600952
17,-1.2223803997039795,-0.8728302121162415,-1.2579915523529053,-0.8728302121162415,-1.5888923406600952
18,-1.249424695968628,-1.016385793685913,-1.24100923538208,-0.8728302121162415,-1.5888923406600952
19,-1.2225937843322754,-1.0486572980880737,-1.2164400815963745,-0.8728302121162415,-1.5888923406600952
20,-1.1645053625106812,-0.849459707736969,-1.118639349937439,-0.849459707736969,-1.5888923406600952
21,-1.2552566528320312,-1.0343214273452759,-1.3000376224517822,-0.849459707736969,-1.5888923406600952
22,-1.2332897186279297,-0.9373729825019836,-1.2254432439804077,-0.849459707736969,-1.5888923406600952
23,-1.2208201885223389,-0.8685159683227539,-1.1955740451812744,-0.849459707736969,-1.5888923406600952
24,-1.1702128648757935,-0.908843994140625,-1.129860281944275,-0.849459707736969,-1.5888923406600952
25,-1.1733813285827637,-1.0064562559127808,-1.08955979347229,-0.849459707736969,-1.5888923406600952
26,-1.1731353998184204,-1.0194849967956543,-1.1086097955703735,-0.849459707736969,-1.5888923406600952
27,-1.090694785118103,-0.8432872295379639,-1.0788228511810303,-0.8432872295379639,-1.5888923406600952
28,-1.1120432615280151,-0.9254048466682434,-1.071432113647461,-0.8432872295379639,-1.5888923406600952
29,-1.1543552875518799,-0.9940001368522644,-1.1082494258880615,-0.8432872295379639,-1.5888923406600952
30,-1.0857480764389038,-0.8915462493896484,-1.0880851745605469,-0.8432872295379639,-1.5888923406600952
31,-1.1277399063110352,-0.8536785840988159,-1.086957573890686,-0.8432872295379639,-1.5888923406600952
32,-1.0874062776565552,-0.8572279810905457,-1.0760055780410767,-0.8432872295379639,-1.5888923406600952
33,-1.0935133695602417,-0.8636364936828613,-1.0743906497955322,-0.8432872295379639,-1.5888923406600952
34,-1.03866446018219,-0.8376474380493164,-1.072350025177002,-0.8376474380493164,-1.5888923406600952
35,-1.061884880065918,-0.8295485973358154,-1.082669734954834,-0.8295485973358154,-1.5888923406600952
36,-1.0416219234466553,-0.8257482051849365,-1.0830646753311157,-0.8257482051849365,-1.5888923406600952
37,-1.0816586017608643,-0.8769398331642151,-1.0795207023620605,-0.8257482051849365,-1.5888923406600952
38,-1.0328395366668701,-0.8305392861366272,-0.9986632466316223,-0.8257482051849365,-1.5888923406600952
39,-1.0349642038345337,-0.8327383995056152,-1.0536210536956787,-0.8257482051849365,-1.5888923406600952
40,-1.0314315557479858,-0.8201100826263428,-1.0430256128311157,-0.8201100826263428,-1.5888923406600952
