iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.6555484533309937,-1.4771324396133423,-1.6490542888641357,-1.4771324396133423,-1.9304569959640503
2,-1.6214120388031006,-1.3204543590545654,-1.640387773513794,-1.3204543590545654,-1.9304569959640503
3,-1.6200565099716187,-1.4177926778793335,-1.6251145601272583,-1.3204543590545654,-1.9304569959640503
4,-1.594408392906189,-1.4317680597305298,-1.5653990507125854,-1.3204543590545654,-1.9304569959640503
5,-1.6242883205413818,-1.4316688776016235,-1.6152369976043701,-1.3204543590545654,-1.9304569959640503
6,-1.6322829723358154,-1.3705846071243286,-1.6609530448913574,-1.3204543590545654,-1.9304569959640503
7,-1.5790446996688843,-1.3993072509765625,-1.552525520324707,-1.3204543590545654,-1.9304569959640503
8,-1.6021363735198975,-1.3390145301818848,-1.585693597793579,-1.3204543590545654,-1.9304569959640503
9,-1.6356793642044067,-1.4077917337417603,-1.6310731172561646,-1.3204543590545654,-1.9304569959640503
10,-1.6199148893356323,-1.33638334274292,-1.6255756616592407,-1.3204543590545654,-1.9304569959640503
11,-1.5842069387435913,-1.3938506841659546,-1.5669389963150024,-1.3204543590545654,-1.9304569959640503
12,-1.597761869430542,-1.3461987972259521,-1.5468711853027344,-1.3204543590545654,-1.9304569959640503
13,-1.5584293603897095,-1.4218904972076416,-1.5403337478637695,-1.3204543590545654,-1.9304569959640503
14,-1.5948231220245361,-1.3590574264526367,-1.6304455995559692,-1.3204543590545654,-1.9304569959640503
15,-1.5104997158050537,-1.3361434936523438,-1.5183029174804688,-1.3204543590545654,-1.9304569959640503
16,-1.5583313703536987,-1.3406273126602173,-1.5755096673965454,-1.3204543590545654,-1.9304569959640503
17,-1.5499802827835083,-1.3441797494888306,-1.5427119731903076,-1.3204543590545654,-1.9304569959640503
18,-1.5346983671188354,-1.419823169708252,-1.528684139251709,-1.3204543590545654,-1.9304569959640503
19,-1.5662816762924194,-1.350998878479004,-1.5293456315994263,-1.3204543590545654,-1.9304569959640503
20,-1.5226646661758423,-1.3924533128738403,-1.539242148399353,-1.3204543590545654,-1.9304569959640503
21,-1.489495873451233,-1.320726990699768,-1.4739985466003418,-1.3204543590545654,-1.9304569959640503
22,-1.466094970703125,-1.3346974849700928,-1.435436487197876,-1.3204543590545654,-1.9304569959640503
23,-1.5152188539505005,-1.3663605451583862,-1.491588830947876,-1.3204543590545654,-1.9304569959640503
24,-1.4888242483139038,-1.3812943696975708,-1.4730685949325562,-1.3204543590545654,-1.9304569959640503
25,-1.481145977973938,-1.365083932876587,-1.4382243156433105,-1.3204543590545654,-1.9304569959640503
26,-1.505549430847168,-1.3032612800598145,-1.4717520475387573,-1.3032612800598145,-1.9304569959640503
27,-1.4935835599899292,-1.337306261062622,-1.4569141864776611,-1.3032612800598145,-1.9304569959640503
28,-1.4950189590454102,-1.3361262083053589,-1.4552980661392212,-1.3032612800598145,-1.9304569959640503
29,-1.4554274082183838,-1.3327481746673584,-1.4435969591140747,-1.3032612800598145,-1.9304569959640503
30,-1.461474895477295,-1.314060091972351,-1.445739507675171,-1.3032612800598145,-1.9304569959640503
31,-1.4911142587661743,-1.3433958292007446,-1.4398421049118042,-1.3032612800598145,-1.9304569959640503
32,-1.4679582118988037,-1.2821276187896729,-1.4333698749542236,-1.2821276187896729,-1.9304569959640503
33,-1.4818023443222046,-1.3662097454071045,-1.4473881721496582,-1.2821276187896729,-1.9304569959640503
34,-1.4630411863327026,-1.3246725797653198,-1.4104760885238647,-1.2821276187896729,-1.9304569959640503
35,-1.4415510892868042,-1.2837198972702026,-1.4267868995666504,-1.2821276187896729,-1.9304569959640503
36,-1.46290123462677,-1.3536144495010376,-1.426780104637146,-1.2821276187896729,-1.9304569959640503
37,-1.4304046630859375,-1.3021289110183716,-1.3940832614898682,-1.2821276187896729,-1.9304569959640503
38,-1.4734442234039307,-1.3393096923828125,-1.4391734600067139,-1.2821276187896729,-1.9304569959640503
39,-1.447149634361267,-1.362870216369629,-1.4147480726242065,-1.2821276187896729,-1.9304569959640503
40,-1.4569942951202393,-1.3406683206558228,-1.4403818845748901,-1.2821276187896729,-1.9304569959640503
