iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.5960663557052612,-1.2608282566070557,-1.6056816577911377,-1.2608282566070557,-1.8612276315689087
2,-1.6002874374389648,-1.4713327884674072,-1.56293785572052,-1.2608282566070557,-1.8612276315689087
3,-1.6139124631881714,-1.2983567714691162,-1.5748200416564941,-1.2608282566070557,-1.8612276315689087
4,-1.5757659673690796,-1.3612860441207886,-1.5708454847335815,-1.2608282566070557,-1.8612276315689087
5,-1.5657856464385986,-1.3144489526748657,-1.5594768524169922,-1.2608282566070557,-1.8612276315689087
6,-1.5749003887176514,-1.2921193838119507,-1.572858214378357,-1.2608282566070557,-1.8866370916366577
7,-1.5279245376586914,-1.2800689935684204,-1.5178263187408447,-1.2608282566070557,-1.8866370916366577
8,-1.5232892036437988,-1.3436393737792969,-1.5316026210784912,-1.2608282566070557,-1.8866370916366577
9,-1.5585432052612305,-1.3720741271972656,-1.5659513473510742,-1.2608282566070557,-1.8866370916366577
10,-1.4979467391967773,-1.3612802028656006,-1.4653685092926025,-1.2608282566070557,-1.8866370916366577
11,-1.5142656564712524,-1.335187554359436,-1.4940639734268188,-1.2608282566070557,-1.8866370916366577
12,-1.4439905881881714,-1.2741901874542236,-1.417858362197876,-1.2608282566070557,-1.8866370916366577
13,-1.488157033920288,-1.3002305030822754,-1.4898780584335327,-1.2608282566070557,-1.8866370916366577
14,-1.508126974105835,-1.2753616571426392,-1.5128334760665894,-1.2608282566070557,-1.8866370916366577
15,-1.5226986408233643,-1.3857637643814087,-1.5162802934646606,-1.2608282566070557,-1.8866370916366577
16,-1.5297776460647583,-1.358290433883667,-1.510561466217041,-1.2608282566070557,-1.8866370916366577
17,-1.4596741199493408,-1.1030523777008057,-1.453328251838684,-1.1030523777008057,-1.8866370916366577
18,-1.4858390092849731,-1.2813043594360352,-1.4946383237838745,-1.1030523777008057,-1.8866370916366577
19,-1.453351616859436,-1.3036149740219116,-1.4408832788467407,-1.1030523777008057,-1.8866370916366577
20,-1.4272913932800293,-1.208980679512024,-1.4044429063796997,-1.1030523777008057,-1.8866370916366577
21,-1.432676911354065,-1.172153353691101,-1.4300981760025024,-1.1030523777008057,-1.8866370916366577
22,-1.4400135278701782,-1.2919915914535522,-1.4212367534637451,-1.1030523777008057,-1.8866370916366577
23,-1.454698920249939,-1.300895094871521,-1.4547306299209595,-1.1030523777008057,-1.8866370916366577
24,-1.4270927906036377,-1.286702036857605,-1.4107584953308105,-1.1030523777008057,-1.8866370916366577
25,-1.4617164134979248,-1.2754966020584106,-1.4477299451828003,-1.1030523777008057,-1.8866370916366577
26,-1.4363946914672852,-1.213620662689209,-1.4433215856552124,-1.1030523777008057,-1.8866370916366577
27,-1.4585320949554443,-1.290989637374878,-1.4468504190444946,-1.1030523777008057,-1.8866370916366577
28,-1.4096739292144775,-1.00151789188385,-1.3991713523864746,-1.00151789188385,-1.8866370916366577
29,-1.461142659187317,-1.266621708869934,-1.4325007200241089,-1.00151789188385,-1.8866370916366577
30,-1.4941778182983398,-1.2667704820632935,-1.5021941661834717,-1.00151789188385,-1.8866370916366577
31,-1.3940768241882324,-1.1887847185134888,-1.3711215257644653,-1.00151789188385,-1.8866370916366577
32,-1.4384461641311646,-1.2865073680877686,-1.4363971948623657,-1.00151789188385,-1.8866370916366577
33,-1.3960973024368286,-1.2736977338790894,-1.3991128206253052,-1.00151789188385,-1.8866370916366577
34,-1.4090538024902344,-1.2885099649429321,-1.385867953300476,-1.00151789188385,-1.8866370916366577
35,-1.4296187162399292,-1.2421050071716309,-1.432813286781311,-1.00151789188385,-1.8866370916366577
36,-1.403220295906067,-1.2984284162521362,-1.3758774995803833,-1.00151789188385,-1.8866370916366577
37,-1.404184103012085,-1.2331516742706299,-1.3698025941848755,-1.00151789188385,-1.8866370916366577
38,-1.3775559663772583,-1.2132060527801514,-1.3663769960403442,-1.00151789188385,-1.8866370916366577
39,-1.3978490829467773,-1.2828097343444824,-1.4012550115585327,-1.00151789188385,-1.8866370916366577
40,-1.4064067602157593,-1.2797826528549194,-1.4141703844070435,-1.00151789188385,-1.8866370916366577
