iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-1.3002570867538452,-1.164513349533081,-1.2898759841918945,-1.164513349533081,-1.4805271625518799
2,-1.3422919511795044,-1.0187734365463257,-1.312684416770935,-1.0187734365463257,-1.6499688625335693
3,-1.34694504737854,-1.15301513671875,-1.2997323274612427,-1.0187734365463257,-1.710222601890564
4,-1.2918407917022705,-1.0093283653259277,-1.2644760608673096,-1.0093283653259277,-1.710222601890564
5,-1.2825490236282349,-1.0427407026290894,-1.2780874967575073,-1.0093283653259277,-1.710222601890564
6,-1.3285924196243286,-1.1230515241622925,-1.2563217878341675,-1.0093283653259277,-1.710222601890564
7,-1.3229608535766602,-1.0307968854904175,-1.2592124938964844,-1.0093283653259277,-1.7216877937316895
8,-1.2916924953460693,-1.0179567337036133,-1.2682844400405884,-1.0093283653259277,-1.7216877937316895
9,-1.2761493921279907,-1.005110502243042,-1.2388039827346802,-1.005110502243042,-1.7216877937316895
10,-1.2562130689620972,-1.0603352785110474,-1.2282142639160156,-1.005110502243042,-1.7286628484725952
11,-1.2617546319961548,-1.0247149467468262,-1.248845100402832,-1.005110502243042,-1.7286628484725952
12,-1.2178223133087158,-0.9518067836761475,-1.2020894289016724,-0.9518067836761475,-1.7286628484725952
13,-1.2528102397918701,-0.9638265371322632,-1.1946861743927002,-0.9518067836761475,-1.7286628484725952
14,-1.215955138206482,-1.0457873344421387,-1.20785391330719,-0.9518067836761475,-1.7286628484725952
15,-1.2668694257736206,-0.9322026968002319,-1.2216767072677612,-0.9322026968002319,-1.7286628484725952
16,-1.205270528793335,-0.8737512230873108,-1.1991312503814697,-0.8737512230873108,-1.7286628484725952
17,-1.2075039148330688,-0.9007601737976074,-1.2142938375473022,-0.8737512230873108,-1.7286628484725952
18,-1.1710375547409058,-0.8387497067451477,-1.2011290788650513,-0.8387497067451477,-1.7286628484725952
19,-1.1608976125717163,-0.9242857694625854,-1.188454031944275,-0.8387497067451477,-1.7286628484725952
20,-1.187604546546936,-0.912899911403656,-1.1684826612472534,-0.8387497067451477,-1.7286628484725952
21,-1.21067476272583,-1.0546319484710693,-1.213036298751831,-0.8387497067451477,-1.7286628484725952
22,-1.1765345335006714,-0.8601426482200623,-1.1792237758636475,-0.8387497067451477,-1.7286628484725952
23,-1.1846035718917847,-0.919784665107727,-1.2088702917099,-0.8387497067451477,-1.7286628484725952
24,-1.1661747694015503,-0.9447566270828247,-1.1684774160385132,-0.8387497067451477,-1.7286628484725952
25,-1.153478741645813,-0.8629228472709656,-1.1710833311080933,-0.8387497067451477,-1.7286628484725952
26,-1.1562012434005737,-0.8600485920906067,-1.1888785362243652,-0.8387497067451477,-1.7286628484725952
27,-1.1224638223648071,-0.9171448349952698,-1.1472783088684082,-0.8387497067451477,-1.7286628484725952
28,-1.141151785850525,-0.960486650466919,-1.1355774402618408,-0.8387497067451477,-1.7286628484725952
29,-1.1532013416290283,-0.9202040433883667,-1.1210150718688965,-0.8387497067451477,-1.7286628484725952
30,-1.1882753372192383,-0.8581874966621399,-1.1868003606796265,-0.8387497067451477,-1.7286628484725952
31,-1.1510740518569946,-0.8646063804626465,-1.1425116062164307,-0.8387497067451477,-1.7286628484725952
32,-1.1116323471069336,-0.8528951406478882,-1.14739191532135,-0.8387497067451477,-1.7286628484725952
33,-1.1132161617279053,-0.8311308026313782,-1.0964937210083008,-0.8311308026313782,-1.7286628484725952
34,-1.1478170156478882,-0.85799640417099,-1.108972430229187,-0.8311308026313782,-1.7286628484725952
35,-1.0480605363845825,-0.8472707867622375,-1.018697738647461,-0.8311308026313782,-1.7286628484725952
36,-1.0780237913131714,-0.8815675377845764,-1.099422574043274,-0.8311308026313782,-1.7286628484725952
37,-1.0421712398529053,-0.7849870920181274,-1.0591309070587158,-0.7849870920181274,-1.7286628484725952
38,-1.06171452999115,-0.7869095802307129,-1.0199593305587769,-0.7849870920181274,-1.7286628484725952
39,-1.0307880640029907,-0.8550971150398254,-0.9590020179748535,-0.7849870920181274,-1.7286628484725952
40,-1.160577654838562,-0.8771927952766418,-1.0709352493286133,-0.7849870920181274,-1.7286628484725952
